task,split,paper_id,promptbook_version,judgment_index,pass_name,model_used,truth,decision,confidence,status,outcome,reasoning,promptbook_evidence,run_id,response_id,configuration_fingerprint,configuration_source,effort,route,transport
data_analysis,build,25GIEATL,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,26LDPI8G,v1,2,primary,claude-sonnet-5,no,no,0.6,scored,true_negative,"Poisson regression with 'robust standard errors' likely corrects for binary/Poisson mismatch, not clinic clustering; no mention of clustered/clinic-level SEs despite 20-clinic cluster RCT.",D6,run-data_analysis-r1-060a29aa3b615279e75d,response-3228ac46188d02d016beb85850dac146a99f5e2077918885dfcf9640b8705896,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,2BDG7GVP,v1,2,primary,claude-sonnet-5,no,no,0.75,scored,true_negative,"Randomization stratified by wave (D9), but primary Wilcoxon test on school-level summaries ignores wave stratification entirely — clustering handled, restriction ignored (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-a2332029d6a70adbbd14ec9e56579832bc95573bb6768ab0c4ffac79aeb6a3b0,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,2HLT4Y2J,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,2LUUC2WH,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,2NRLZW3M,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,2RDD8DGI,v1,2,primary,claude-sonnet-5,yes,no,0.62,scored,false_negative,"Sites stratified by type AND racial/ethnic composition (D9), but model only includes site type as random effect, ignoring the racial/ethnic composition stratum (D10/D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-63a4967e42f86b74881c7fb0b73b13d2910ead825eb899f9cee12b394d56b0e8,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,3H4J4BGD,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,49C5LL2B,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,4B9BMDV7,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,4FJHYJ4R,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,4GUDDLNQ,v1,2,primary,claude-sonnet-5,no,no,0.75,scored,true_negative,"Block-randomized (size=4) design per methods, but GLMM only includes school and school-wave random intercepts; no block/stratum term in the analysis at all.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-8d170a5cb0f241769c89eee7a7c8898d9cc999dde1efa6676fa1939089f7b2d9,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,4IBT3NAD,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,4QHFZPVG,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,4T9MTMMP,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,4X4LV7H7,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,52L6RCJY,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,5VWZPNEQ,v1,2,primary,claude-sonnet-5,no,no,0.62,scored,true_negative,"Mixed model with clinic random effect handles clustering, but randomization was also constrained by region; only clinic size (not region) is proposed as a covariate.",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-a0e4cf795571b8afdd6c890595f8d74e313c9a1b8b180f68ce718d80192ff2fc,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,6M6JS3W5,v1,,,,no,,,missing,missing,,,,,,,,,
data_analysis,build,6PNE2R2W,v1,,,,yes,,,missing,missing,,,,,,,,,
data_analysis,build,6XFGQN39,v1,2,primary,claude-sonnet-5,no,no,0.65,scored,true_negative,"Clinicians stratified by age/sex for randomization (D9), but primary hierarchical GLMM only includes clinician/practice random effects, not the age/sex strata (D11).",D11,run-data_analysis-r1-060a29aa3b615279e75d,response-67b7daf6c8a9007c66b88f1cf552d5b5b9c3a2730eb61442ac9ad12d7e09fe32,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,72N55PAH,v1,2,primary,claude-sonnet-5,no,no,0.9,scored,true_negative,"Primary outcome (diagnostic completion) analyzed via Fisher's exact test on individual patients; no random effect, clustered SE, or cluster-level summary despite cluster randomization by city.",D6,run-data_analysis-r1-060a29aa3b615279e75d,response-ba7c0a09b26345a12fb1f51b2623475a6b64f90c7d9f408aa0e61a4158764864,7b67b1a615be40f8a3b1afbe7df040febdd8cb15ade22bae8cbffaa0e8929f0d,C:\Users\charl\OneDrive\Desktop\CU Anschutz Research\Cluster-Paper Review\results\04_classification\raw\data_analysis_r1\run_environment.json,high,data_analysis,reading_room
data_analysis,build,7KTF6M73,v1,,,,yes,,,missing,missing,,,,,,,,,
