paper_id,title,first_author,year,journal,doi,task,round,promptbook_version,split,truth,decision,outcome,confidence,reasoning,promptbook_evidence,cited_rules,status,failure_kind,failure_case,detail,raw_path
IPR6QU8P,Community Health Workers Linking Clinics and Schools and Asthma Control: A Randomized Clinical Trial,Bryant-Stephens,2024,JAMA pediatrics,10.1001/jamapediatrics.2024.3967,power_analysis,1,,build,yes,no,false_negative,0.85,"Sample size/power calc explicitly deferred to prior protocol paper (ref 19), not described in this manuscript, violating P2/P6.",P2,P2,ok,,,,results\04_classification\raw\power_analysis_v1_r1\66bc5344865d7182.attempt1.jsonl
B3KTU9TU,Mixed-methods approach to evaluate an mHealth intervention to increase adherence to triage of human papillomavirus-positive women who have performed self-collection (the ATICA study): study protocol for a hybrid type I cluster randomized effectiveness-implementation trial,Arrossi,2019,Trials,10.1186/s13063-019-3229-3,power_analysis,1,,build,yes,no,false_negative,0.72,"ICC 0.10 accounts for CHW clustering, but randomization was stratified by gender/urban-rural with no adjustment for induced stratum correlation in the power calc.",P12,P12,ok,,,,results\04_classification\raw\power_analysis_v1_r1\b2caec83ff3c6aa3.attempt1.jsonl
D24FD6G2,"Automated symptom and treatment side effect monitoring for improved quality of life among adults with diabetic peripheral neuropathy in primary care: a pragmatic, cluster, randomized, controlled trial",Adams,2019,Diabetic Medicine: A Journal of the British Diabetic Association,10.1111/dme.13840,power_analysis,1,,build,yes,no,false_negative,0.72,"Power calc assumes cluster size 1, an individual-level calculation with no ICC or design effect; clustering not properly accounted for.",P8,P8,ok,,,,results\04_classification\raw\power_analysis_v1_r1\e0c0ceb1f7a7272a.attempt1.jsonl
BAABE7JM,"The comparative effectiveness of decision aids in diverse populations with early stage prostate cancer: a study protocol for a cluster-randomized controlled trial in the NCI Community Oncology Research Program (NCORP), Alliance A191402CD",Pacyna,2018,BMC cancer,10.1186/s12885-018-4672-3,power_analysis,1,,build,no,yes,false_positive,0.72,"Clustering handled via ICC=0.1, m=5, design effect 1+(m-1)ρ=1.4; block randomization (equal sites/arm) with no covariate matching, so no restriction adjustment needed.",P7,P7,ok,,,,results\04_classification\raw\power_analysis_v1_r1\e50fc908a63b9e0f.attempt1.jsonl
WY9D5UIK,"Oral cancer screening using mobile phone-based(mHealth) approach versus conventional oral examination approach, protocol of a cluster randomized study with cost-effectiveness analysis",Thankappan,2020,International Journal of Surgery Protocols,10.1016/j.isjp.2020.07.001,power_analysis,1,,build,no,yes,false_positive,0.72,"Sample size uses effect size, ICC via design effect of 2, and cluster count (6); no restricted randomization (simple 3v3 random allocation) to account for.",P7,P7,ok,,,,results\04_classification\raw\power_analysis_v1_r1\57743291d7ac1932.attempt1.jsonl
LGEECHQM,A mHealth intervention to preserve and promote ideal cardiovascular health in college students: Design and protocol of a cluster randomized controlled trial,Pfammatter,2020,Contemporary Clinical Trials,10.1016/j.cct.2020.106162,power_analysis,1,,build,no,yes,false_positive,0.62,"ICC=0.01 specified, cluster-based design via Thompson et al.'s paired cluster RCT formula, which incorporates matching correlation for dorm pairs.",P7,P7,ok,,,,results\04_classification\raw\power_analysis_v1_r1\d545e2f4fc5d2e65.attempt1.jsonl
7M6ST2JQ,Effect of the School-Based Asthma Care for Teens (SB-ACT) program on asthma morbidity: a 3-arm randomized controlled trial,Halterman,2022,The Journal of Asthma: Official Journal of the Association for the Care of Asthma,10.1080/02770903.2020.1856869,power_analysis,1,,build,no,yes,false_positive,0.55,"Teens, not schools, were randomized (stratified by school), so no cluster-level correlation applies; ICC 0.3-0.4 addresses repeated measures, correctly handled per P17.",P17,P17,ok,,,,results\04_classification\raw\power_analysis_v1_r1\640a4c8248ea51b6.attempt1.jsonl
2RDD8DGI,Efficacy of Mobile Phone-Delivered Smoking Cessation Interventions for Socioeconomically Disadvantaged Individuals: A Randomized Clinical Trial,Vidrine,2019,JAMA internal medicine,10.1001/jamainternmed.2018.5713,power_analysis,1,,build,yes,,failed,,,,,failed,parse,D,"1 validation error for Decision
reasoning
  Value error, reasoning is 208 chars, cap is 200 [type=value_error, input_value=""ICC (0.001), effect size...ustering accounted for."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error",results\04_classification\raw\power_analysis_v1_r1\4e9c8953d53f7148.attempt1.jsonl
9DKJKFAS,Effectiveness and implementation of mPATH™-CRC: a mobile health system for colorectal cancer screening,Snavely,2023,Trials,10.1186/s13063-023-07273-5,power_analysis,1,,build,yes,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\8f165dcccd35a48c.attempt1.jsonl
FEHWGZSQ,"Evaluation of an adapted version of the Diabetes Prevention Program for low- and middle-income countries: A cluster randomized trial to evaluate ""Lifestyle Africa"" in South Africa",Catley,2022,PLoS medicine,10.1371/journal.pmed.1003964,power_analysis,1,,build,no,,failed,,,,,failed,process,,exit code 1,results\04_classification\raw\power_analysis_v1_r1\7139a9df1cd0d5cf.attempt1.jsonl
