priority,category,paper_id,set,finding,recommended_action,verdict,verdict_reason,title_score,doi,pmid,folder,attachment_key,title
1,LIKELY_WRONG,AULRV66J,unlabelled,title appears 64% into the text = sitting in a reference list; 0/12 authors found. PDF is a different Ophthalmology article that merely cites this one,"Confirm and replace the PDF in Zotero, or drop this paper",WEAK,TITLE_NEAR_MATCH,100.0,10.1016/j.ophtha.2020.02.014,32197915,NEI,FYG5S8BR,Post-antibiotic Ocular Surface Microbiome in Children: A Cluster-Randomized Trial.
1,UNREADABLE,XQ95HYJB,unlabelled,no text layer on pages 1-2 (scanned image); identity cannot be checked,"Re-attach a text PDF in Zotero, or OCR it, or drop it",PDF_UNREADABLE,NO_TEXT,0.0,10.2196/33929,35731565,NICHD; NIDDK,D8WUDDAH,A Web-Based mHealth Intervention With Telephone Support to Increase Physical Activity Among Pregnant Patients With Overweight or Obesity: Feasibility  Randomized Controlled Trial.
1,WRONG_DOCUMENT,2NUR4ISP,unlabelled,PDF matches the record on no signal - wrong document,"Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,NO_MATCH,79.3,10.2196/24115,34128819,NIMH,WM7EG2PI,Adaptation of the World Health Organization Electronic Mental Health Gap Action Programme Intervention Guide App for Mobile Devices in Nepal and Nigeria:  Protocol for a Feasibility Cluster Randomized Controlled Trial.
1,WRONG_DOCUMENT,3NJJIQJQ,human_labelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,83.0,10.2196/34502,34967755,FinalCollectionFor Publication,DUMQL4WA,Evaluation of the Efficacy of a Smoking Cessation Intervention for Cervical Cancer Survivors and Women With High-Grade Cervical Dysplasia: Protocol for a Randomized Controlled Trial
1,WRONG_DOCUMENT,4347I8U7,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,87.6,10.2196/34990,35536637,NIA; NIGMS; NLM,2FBEV83N,A Scalable Service to Improve Health Care Quality Through Precision Audit and Feedback: Proposal for a Randomized Controlled Trial.
1,WRONG_DOCUMENT,5ZYEYEFF,unlabelled,PDF matches the record on no signal - wrong document,"Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,NO_MATCH,45.8,10.2196/26192,33528378,NIMH,BMDYLQN8,"Mobile Health-Supported HIV Self-Testing Strategy Among Urban Refugee and Displaced Youth in Kampala, Uganda: Protocol for a Cluster Randomized Trial  (Tushirikiane, Supporting Each Other)."
1,WRONG_DOCUMENT,62ZSZPVQ,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,80.0,10.2196/37002,35576573,NICHD,ACTTI9DB,Evaluation of a Circadian Rhythm and Sleep-Focused Mobile Health Intervention for the Prevention of Accelerated Summer Weight Gain Among Elementary School-Age  Children: Protocol for a Randomized Controlled Feasibility Study.
1,WRONG_DOCUMENT,8YD6VXVA,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,92.5,10.2196/15314,31584004,NICHD,BNBDYSYA,Integrated Care Delivery for HIV Prevention and Treatment in Adolescent Girls and Young Women in Zambia: Protocol for a Cluster-Randomized Controlled Trial.
1,WRONG_DOCUMENT,CLPMXINX,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,92.2,10.2196/46187,37079365,NIDDK,XD6FHBNP,Enhancing the Cardiovascular Safety of Hemodialysis Care Using Multimodal Provider Education and Patient Activation Interventions: Protocol for a Cluster  Randomized Controlled Trial.
1,WRONG_DOCUMENT,DB7RLSI3,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,86.3,10.2196/44219,36947125,NIDA; NIMH,ZESCSW7J,Strengthening Addiction Care Continuum Through Community Consortium in Vietnam: Protocol for a Cluster-Randomized Controlled Trial.
1,WRONG_DOCUMENT,DBT2TU6U,unlabelled,PDF matches the record on no signal - wrong document,"Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,NO_MATCH,47.3,10.2196/30372,36121686,FIC,YZ8JKE3M,Effectiveness of Cash Transfer Delivered Along With Combination HIV Prevention Interventions in Reducing the Risky Sexual Behavior of Adolescent Girls and Young  Women in Tanzania: Cluster Randomized Controlled Trial.
1,WRONG_DOCUMENT,DY89L5PP,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,79.4,10.2196/33695,34914618,NIMH,NSYUAWMP,Harnessing Innovative Technologies to Train Nurses in Suicide Safety Planning With Hospitalized Patients: Protocol for Formative and Pilot Feasibility  Research.
1,WRONG_DOCUMENT,EYG252Z5,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,81.0,10.2196/51660,38252481,NIAID,Z42WU2DT,Seasonal Malaria Chemoprevention Therapy in Children Up To 9 Years of Age: Protocol for a Cluster-Randomized Trial Study.
1,WRONG_DOCUMENT,H6A7ZU2Q,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,88.1,10.2196/40101,36197706,NIMH,4H75R2P5,A Multilevel Integrated Intervention to Reduce the Impact of HIV Stigma on HIV Treatment Outcomes Among Adolescents Living With HIV in Uganda: Protocol for a  Randomized Controlled Trial.
1,WRONG_DOCUMENT,IB825UX2,human_labelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,84.1,10.2196/33183,34787590,FinalCollectionFor Publication,7QRCX9QS,Evaluating the Efficacy of Automated Smoking Treatment for People With HIV: Protocol for a Randomized Controlled Trial
1,WRONG_DOCUMENT,LLZYSRKB,unlabelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,96.9,10.2196/43986,36716301,NIAAA,VG32PJE8,Cross-Tailoring Integrative Alcohol and Risky Sexual Behavior Feedback for College Students: Protocol for a Hybrid Type 1 Effectiveness-Implementation  Trial.
1,WRONG_DOCUMENT,LNE655AM,human_labelled,"NIH/PCORI grant paperwork (summary statement / review sheet), not the article","Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,ADMIN_DOCUMENT,96.7,10.2196/48923,37384390,FinalCollectionFor Publication,VWTRKQR3,Ending Tobacco Use Through Interactive Tailored Messaging for Cambodian People With HIV (Project EndIT): Protocol for a Randomized Controlled Trial
1,WRONG_DOCUMENT,NEFAHCCF,unlabelled,PDF matches the record on no signal - wrong document,"Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,NO_MATCH,52.2,10.2196/24359,33749610,NCATS,LL2PQTR7,Applying Clinical Decision Support Design Best Practices With the Practical Robust Implementation and Sustainability Model Versus Reliance on Commercially  Available Clinical Decision Support Tools: Randomized Controlled Trial.
1,WRONG_DOCUMENT,NYT8TV5W,unlabelled,PDF matches the record on no signal - wrong document,"Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,NO_MATCH,35.1,10.2196/28723,34704959,NIA; NIDDK,UMWJKZZI,A Behavioral Economics-Electronic Health Record Module to Promote Appropriate Diabetes Management in Older Adults: Protocol for a Pragmatic Cluster Randomized  Controlled Trial.
1,WRONG_DOCUMENT,QITZ472M,unlabelled,PDF matches the record on no signal - wrong document,"Replace the PDF in Zotero, or drop this paper from the corpus",MISMATCH,NO_MATCH,47.6,10.2196/24342,33843594,NIDCR,BIW4DQ3G,De-Implementing Opioid Use and Implementing Optimal Pain Management Following Dental Extractions (DIODE): Protocol for a Cluster Randomized Trial.
