paper_id,title,first_author,year,journal,doi,task,round,promptbook_version,split,truth,decision,outcome,confidence,reasoning,promptbook_evidence,cited_rules,status,failure_kind,failure_case,detail,raw_path
SGCHKJTH,"Multilevel approaches to increase fruit and vegetable intake in low-income housing communities: final results of the 'Live Well, Viva Bien' cluster-randomized trial",Gans,2018,The International Journal of Behavioral Nutrition and Physical Activity,10.1186/s12966-018-0704-2,data_analysis,1,v1,build,yes,no,false_negative,0.75,"Sites were pair-matched before randomization, but the mixed model only included random effects for site and participant, no pair/matched-set term. D11.",D11,D11,ok,,,,results\04_classification\raw\data_analysis_r1\551d60abf25ad16a.attempt1.jsonl
FHVQQIX3,"Community-based, cluster-randomized pilot trial of a cardiovascular mHealth intervention: Rationale, design, and baseline findings of the FAITH! Trial",Brewer,2022,American Heart Journal,10.1016/j.ahj.2022.01.009,data_analysis,1,v1,build,yes,no,false_negative,0.72,"This is a baseline/design paper; primary outcome (6-month LS7 change) treatment effect analysis was not yet performed, only planned in future tense.",D4,D4,ok,,,,results\04_classification\raw\data_analysis_r1\a050ba92162a205a.attempt2.jsonl
B3KTU9TU,Mixed-methods approach to evaluate an mHealth intervention to increase adherence to triage of human papillomavirus-positive women who have performed self-collection (the ATICA study): study protocol for a hybrid type I cluster randomized effectiveness-implementation trial,Arrossi,2019,Trials,10.1186/s13063-019-3229-3,data_analysis,1,v1,build,yes,no,false_negative,0.68,"GEE clusters by CHW (D5) but CHWs were stratified by gender/urban-rural; analysis plan only checks effect modification, not stratum adjustment. Restriction ignored (D11).",D11,D11,ok,,,,results\04_classification\raw\data_analysis_r1\c2ae50403d9efd69.attempt1.jsonl
2RDD8DGI,Efficacy of Mobile Phone-Delivered Smoking Cessation Interventions for Socioeconomically Disadvantaged Individuals: A Randomized Clinical Trial,Vidrine,2019,JAMA internal medicine,10.1001/jamainternmed.2018.5713,data_analysis,1,v1,build,yes,no,false_negative,0.62,"Sites stratified by type AND racial/ethnic composition (D9), but model only includes site type as random effect, ignoring the racial/ethnic composition stratum (D10/D11).",D11,D11,ok,,,,results\04_classification\raw\data_analysis_r1\d1f47a97976aa5a5.attempt1.jsonl
IPR6QU8P,Community Health Workers Linking Clinics and Schools and Asthma Control: A Randomized Clinical Trial,Bryant-Stephens,2024,JAMA pediatrics,10.1001/jamapediatrics.2024.3967,data_analysis,1,v1,build,yes,no,false_negative,0.6,"Individual randomization stratified by clinic site (D9) not entered in model; school randomization stratified into 5 groups also not adjusted, despite clustering being handled (D11).",D11,D11,ok,,,,results\04_classification\raw\data_analysis_r1\d4711f12b5c7c0a1.attempt1.jsonl
TEXLFQSL,Mobile Application-Based Communication Facilitation Platform for Family Members of Critically Ill Patients: A Randomized Clinical Trial,Cox,2024,JAMA network open,10.1001/jamanetworkopen.2023.49666,data_analysis,1,v1,build,no,yes,false_positive,0.8,"Primary NEST analysis used mixed model with random physician effect (D5) plus adjustment for stratification variables (D10), satisfying both clustering and restriction requirements.",D13,D13,ok,,,,results\04_classification\raw\data_analysis_r1\4a2b77609993bd14.attempt2.jsonl
DCYTWR4N,Impact of Clinical Decision Support on Antibiotic Prescribing for Acute Respiratory Infections: a Cluster Randomized Implementation Trial,Mann,2020,Journal of General Internal Medicine,10.1007/s11606-020-06096-3,data_analysis,1,v1,build,no,yes,false_positive,0.75,"Primary outcome (antibiotic prescribing) analyzed via GEE with robust SEs clustering visits within practices, the randomization unit. Simple random allocation, no restriction to handle.",D5,D5,ok,,,,results\04_classification\raw\data_analysis_r1\c85a934c6877467d.attempt1.jsonl
84YU8UCD,Equitable Care for Hypertension: Blood Pressure and Patient-Reported Outcomes of the RICH LIFE Cluster Randomized Trial,Cooper,2024,Circulation,10.1161/circulationaha.124.069622,data_analysis,1,v1,build,no,yes,false_positive,0.72,"Primary outcomes analyzed via GEE (BP control) and mixed model with random effect (PAM-13), both clustering by practice; health system (randomization stratum) adjusted as covariate.","D5,D10",D5;D10,ok,,,,results\04_classification\raw\data_analysis_r1\de962d6e23c7cdfa.attempt1.jsonl
D24FD6G2,"Automated symptom and treatment side effect monitoring for improved quality of life among adults with diabetic peripheral neuropathy in primary care: a pragmatic, cluster, randomized, controlled trial",Adams,2019,Diabetic Medicine: A Journal of the British Diabetic Association,10.1111/dme.13840,data_analysis,1,v1,build,no,yes,false_positive,0.72,"GEE explicitly used to account for clustering of persons within physicians, with robust SEs; randomization was simple 1:1, no stratification/matching present (D9 n/a).",D5,D5,ok,,,,results\04_classification\raw\data_analysis_r1\2fe70351255d3869.attempt1.jsonl
LU33978L,Improving Communication in Heart Failure Patient Care,Goldstein,2019,Journal of the American College of Cardiology,10.1016/j.jacc.2019.07.058,data_analysis,1,v1,build,no,yes,false_positive,0.7,"Primary outcomes analyzed via GLM with Huber-White cluster-robust SEs, clustered at hospital (randomization unit). No restricted randomization (simple cluster randomization) to account for.",D5,D5,ok,,,,results\04_classification\raw\data_analysis_r1\76a144aff496736e.attempt2.jsonl
FEHWGZSQ,"Evaluation of an adapted version of the Diabetes Prevention Program for low- and middle-income countries: A cluster randomized trial to evaluate ""Lifestyle Africa"" in South Africa",Catley,2022,PLoS medicine,10.1371/journal.pmed.1003964,data_analysis,1,v1,build,no,,failed,,,,,failed,parse,D,"1 validation error for Decision
reasoning
  Value error, reasoning is 211 chars, cap is 200 [type=value_error, input_value=""Randomization stratified...triction ignored (D11)."", input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/value_error",results\04_classification\raw\data_analysis_r1\43dd1fefcd39ce39.attempt2.jsonl
