paper_id,token,task,round,status,decision,confidence,reasoning,promptbook_evidence,cited_rules,was_fenced,failure_kind,failure_case,detail,flagged_other_papers,raw_path
KMRQTRP3,a5689ca7b2d7c790,data_analysis,1,ok,no,0.75,"Constrained randomization on EHR vendor, baseline HPV rate, baseline visit volume (D9) but models only include arm, period, interaction—no adjustment for constraining covariates (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\a5689ca7b2d7c790.attempt1.jsonl
HPIL7WVW,2ec0f10d7cf6513e,data_analysis,1,ok,no,0.72,"Randomization stratified by practice size (D9), but mixed model only adjusts for clinic random effect, baseline, age, cancer type—no stratification factor adjustment (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\2ec0f10d7cf6513e.attempt1.jsonl
2RDD8DGI,d1f47a97976aa5a5,data_analysis,1,ok,no,0.62,"Sites stratified by type AND racial/ethnic composition (D9), but model only includes site type as random effect, ignoring the racial/ethnic composition stratum (D10/D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\d1f47a97976aa5a5.attempt1.jsonl
WCA66X4I,13ea1876b5f79573,data_analysis,1,ok,no,0.62,"Randomization stratified on rural/urban and Medicaid % (D9), but planned GLMM only includes clinic/provider random effects and sex; stratification variables not explicitly adjusted (D10/D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\13ea1876b5f79573.attempt1.jsonl
MTLFVN94,7fd0cd12ba343d5a,data_analysis,1,ok,no,0.62,"Randomization stratified by province (D9), but primary GEE analysis adjusts only for clustering, not stratification factor; subgroup-by-province is not adjustment. D11 applies.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\7fd0cd12ba343d5a.attempt1.jsonl
6XFGQN39,306b64d923b75017,data_analysis,1,ok,no,0.65,"Clinicians stratified by age/sex for randomization (D9), but primary hierarchical GLMM only includes clinician/practice random effects, not the age/sex strata (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\306b64d923b75017.attempt1.jsonl
ZETJJPRR,c87859a90e74184a,data_analysis,1,ok,no,0.62,CHCs randomized in 3 waves (block randomization) but primary GLMM only includes commune random intercept + education covariate; wave/block not adjusted for.,D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\c87859a90e74184a.attempt1.jsonl
5VWZPNEQ,408799ec77e427ae,data_analysis,1,ok,no,0.62,"Mixed model with clinic random effect handles clustering, but randomization was also constrained by region; only clinic size (not region) is proposed as a covariate.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\408799ec77e427ae.attempt1.jsonl
D24FD6G2,2fe70351255d3869,data_analysis,1,ok,yes,0.72,"GEE explicitly used to account for clustering of persons within physicians, with robust SEs; randomization was simple 1:1, no stratification/matching present (D9 n/a).",D5,D5,False,,,,,results\04_classification\raw\data_analysis_r1\2fe70351255d3869.attempt1.jsonl
C9P63S2B,5d48f6e3c2caa90e,data_analysis,1,ok,no,0.72,"CACs pair-matched by team size before randomization, but analyses (mixed models, robust SEs) never adjust for pairing/matching factor.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\5d48f6e3c2caa90e.attempt1.jsonl
2BDG7GVP,0d9cb23655c966b6,data_analysis,1,ok,no,0.75,"Randomization stratified by wave (D9), but primary Wilcoxon test on school-level summaries ignores wave stratification entirely — clustering handled, restriction ignored (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\0d9cb23655c966b6.attempt1.jsonl
CKEF67C5,2237126b7edaf702,data_analysis,1,ok,no,0.55,"Randomization stratified by both site and clinical FTE, but model only includes site as fixed effect; FTE stratification never adjusted for, so restriction only partially handled.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\2237126b7edaf702.attempt1.jsonl
XFPCQLGP,3e395228ccfee314,data_analysis,1,ok,no,0.78,"CHCs pair-matched on rural/urban location (restriction present), but primary mixed model only includes random intercept for CHC—no pair/stratum term, violating D11.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\3e395228ccfee314.attempt1.jsonl
BAABE7JM,f1f425e327ed80a5,data_analysis,1,ok,no,0.6,"Site-level clustering handled via random intercept, but the block-randomized design (D9) is never accounted for in the mixed model—no block/stratum term mentioned (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\f1f425e327ed80a5.attempt1.jsonl
NQ4Y7FIA,27f566bd445e038c,data_analysis,1,ok,no,0.72,"Facility random effect handles clustering, but randomization used Frane's adaptive method balancing on retention, location, size (D9); analysis never adjusts for these strata (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\27f566bd445e038c.attempt1.jsonl
4GUDDLNQ,0d558e0506ae8f18,data_analysis,1,ok,no,0.75,"Block-randomized (size=4) design per methods, but GLMM only includes school and school-wave random intercepts; no block/stratum term in the analysis at all.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\0d558e0506ae8f18.attempt1.jsonl
LGEECHQM,69f00d076e84fc56,data_analysis,1,ok,no,0.68,"Primary 3-level mixed model handles dorm-level clustering (subject, dorm) but pair-matching is only used in a separate secondary heterogeneity model, not the primary effect estimate.",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\69f00d076e84fc56.attempt1.jsonl
C69UAKKB,582bef741ddfb7f0,data_analysis,1,ok,no,0.72,"Sites pair-matched on covariates within parent trial (D9), but GEE model only adjusts for parent trial, not the matched pairs/strata—restriction ignored despite clustering handled (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\582bef741ddfb7f0.attempt1.jsonl
BLWKH6C8,bf7bee3b070b5a78,data_analysis,1,ok,yes,0.62,"Planned GEE logistic model includes random effects for clinician cluster, the randomization unit; no stratified/matched restriction on cluster randomization is described.",D5,D5,False,,,,,results\04_classification\raw\data_analysis_r1\bf7bee3b070b5a78.attempt1.jsonl
WY9D5UIK,0e4674b4982c6432,data_analysis,1,ok,no,0.85,This is a protocol paper with no data analysis plan described for accounting for clustering; only sample size design effect mentioned.,D4,D4,False,,,,,results\04_classification\raw\data_analysis_r1\0e4674b4982c6432.attempt1.jsonl
B3KTU9TU,c2ae50403d9efd69,data_analysis,1,ok,no,0.68,"GEE clusters by CHW (D5) but CHWs were stratified by gender/urban-rural; analysis plan only checks effect modification, not stratum adjustment. Restriction ignored (D11).",D11,D11,False,,,,,results\04_classification\raw\data_analysis_r1\c2ae50403d9efd69.attempt1.jsonl
