paper_id,set,stage,removed_from,reason,evidence,decided_by,decided_at,source_record,title
6SQ7YL4X,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set U4546RAU, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Prenatal Household Air Pollution Exposure and Childhood Blood Pressure in Rural Ghana.
S8AWREET,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set YQC5A963, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Comparative effectiveness of implementation strategies for Accelerating Cervical Cancer Elimination through the integration of Screen-and-treat Services (ACCESS  study): protocol for a cluster randomized hybrid type III trial in Nigeria.
GZB2QRQN,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set FPX2G3LA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Examining local smoke-free coalitions in Armenia and Georgia: context and outcomes of a matched-pairs community-randomised controlled trial.
JKT92VFB,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set FI4T6J44, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Cost-effectiveness of a faith-based lifestyle intervention for diabetes prevention among African Americans: A within-trial analysis.
6A7TZZ7L,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set NCULGT7Q, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Acceptability and feasibility of mobile phone-based ecological momentary assessment and intervention in Uganda: A pilot randomized controlled trial.
5SYFNTAR,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set YAIMEWET, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Network characteristics of a referral system for patients with hypertension in Western Kenya: results from the Strengthening Referral Networks for Management of  Hypertension Across the Health System (STRENGTHS) study.
EXEBP353,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 9J2SL67D, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Conquering hypertension in Vietnam-solutions at grassroots level: study protocol of a cluster randomized controlled trial.
TJJRPERK,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set BWAGKCVT, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Using a continuum of hybrid effectiveness-implementation studies to put research-tested colorectal screening interventions into practice.
SLL6D8W7,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set BAABE7JM, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"The comparative effectiveness of decision aids in diverse populations with early stage prostate cancer: a study protocol for a cluster-randomized controlled trial  in the NCI Community Oncology Research Program (NCORP), Alliance A191402CD."
L9QQZC55,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set FHVQQIX3, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"Community-based, cluster-randomized pilot trial of a cardiovascular mHealth intervention: Rationale, design, and baseline findings of the FAITH! Trial."
WVYCZBPF,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set DJYB2MPK, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Design and rationale of the cardiometabolic health program linked with community health workers and mobile health telemonitoring to reduce health disparities  (LINKED-HEARTS) program.
SGEDS55Q,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 85UJCVKA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,"Association of perinatal depression and postpartum contraception intent, choice, and actual use."
IQDL72X9,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 4ME98BI9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Commentary: Right truncation in cluster randomized trials can attenuate the power of a marginal analysis.
Y4QNBWSN,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set F2BPPKMI, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"QuitSMART Utah: an implementation study protocol for a cluster-randomized, multi-level Sequential Multiple Assignment Randomized Trial to increase Reach and  Impact of tobacco cessation treatment in Community Health Centers."
7HSKFB5R,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set UHLRHMGI, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Adaptive Designs in Implementation Science and Practice: Their Promise and the Need for Greater Understanding and Improved Communication.
Z49RK7S3,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set W2VQEXEG, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,"Medical assistant health coaching (""MAC"") for type 2 diabetes in diverse primary care settings: A pragmatic, cluster-randomized controlled trial protocol."
4SMC3YCR,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set WGQGTBTE, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Dulce Digital-Me: protocol for a randomized controlled trial of an adaptive mHealth intervention for underserved Hispanics with diabetes.
LNJRE9FB,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set Y5J6YZK2, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Engaging diverse midlife and older adults in a multilevel participatory physical activity intervention: evaluating impacts using Ripple Effects Mapping.
ZCN2GW5H,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 4EYIVLJR, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Process evaluation of a medical assistant health coaching intervention for type 2 diabetes in diverse primary care settings.
TXGVITEJ,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set RUYVCGHY, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Targeting Sedentary Behavior in CKD: A Pilot and Feasibility Randomized Controlled Trial.
5XST2QLS,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set EBWFU9KS, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Assessment of COVID-19 Messaging Strategies to Increase Testing for Students With Intellectual and Developmental Disabilities.
MEWCCWRY,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 8MGIPU3P, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Incorporating systems-level stakeholder perspectives into the clinical trial design of school-supervised asthma therapy.
QSSAN7UI,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set ABV8X64G, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,"Impact of the Out-of-School Nutrition and Physical Activity (OSNAP) Group Randomized Controlled Trial on Children's Food, Beverage, and Calorie Consumption  among Snacks Served."
ZIW6MP95,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set UJB4QA99, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,The Relationship Between Frailty and Emotional Health in Older Patients with Advanced Cancer.
2UTZGV6B,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set VPCPTPZL, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Using Geriatric Assessment to Guide Conversations Regarding Comorbidities Among Older Patients With Advanced Cancer.
CBXHYRH6,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 8NC76BQP, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Effect of Hospitalizations on Physical Activity Patterns in Mobility-Limited Older Adults.
ZJVGPCQS,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set KESZW83P, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Balanced Crystalloids versus Saline in Critically Ill Adults.
SHZWCASA,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set LU33978L, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Improving Communication in Heart Failure Patient Care.
K6ICH5QI,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set C9R7RUUN, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Hierarchical Bayesian modeling of heterogeneous outcome variance in cluster randomized trials.
NRBW33RG,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set XEKC6EFN, which already carries a human label",matched on DOI,rule,,results/review/02_removed_us_duplicates.csv,Reversing the Cardiac Effects of Sedentary Aging in Middle Age-A Randomized Controlled Trial: Implications For Heart Failure Prevention.
32XV68PT,unlabelled,cross_set_duplicate,corpus,"same paper as Human Labelled Set 36I94AIH, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_us_duplicates.csv,Protocol for a cluster-randomized trial of a school-based skin cancer preventive intervention for adolescents.
