paper_id,folder,folder_path,title,first_author,doi,pmid,pmcid,year,journal,attachment_key,md5,status,detail,warning,verdict,title_score,set,fetched_at
YLS5U33Y,CC / CLC; NIDA,Boring Task / CC / CLC; Boring Task / NIDA,Design of a pragmatic clinical trial to improve screening and treatment for opioid use disorder in primary care.,Rossom,10.1016/j.cct.2022.107012,36402275,PMC9839646,2023,Contemporary clinical trials,RF6CZ9WP,6778696fb197206c51772bfff8f79225,OK,downloaded,,,,testing,2026-08-06T22:19:57.969882+00:00
MQC52PL5,FIC; NCATS,Boring Task / FIC; Boring Task / NCATS,Effectiveness of a psychological intervention delivered by general nurses for alcohol use disorders in people living with HIV in Zimbabwe: a cluster randomized  controlled trial.,Madhombiro,10.1002/jia2.25641,33314786,PMC7733606,2020,Journal of the International AIDS Society,DZGAG5MK,bfe4442928edec16727af37955ce1af8,OK,downloaded,,,,testing,2026-08-06T22:19:58.812656+00:00
P83JNYPT,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Household Water and Food Insecurity Are Positively Associated with Poor Mental and Physical Health among Adults Living with HIV in Western Kenya.,Miller,10.1093/jn/nxab030,33709134,PMC8243794,2021,The Journal of nutrition,S36A8ZR5,955c57befd721268d2eedc2a83504d45,OK,downloaded,,,,testing,2026-08-06T22:19:59.329354+00:00
E2YTTWU3,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,The Video intervention to Inspire Treatment Adherence for Life (VITAL Start): protocol for a multisite randomized controlled trial of a brief video-based  intervention to improve antiretroviral adherence and retention among HIV-infected  pregnant women in Malawi.,Kim,10.1186/s13063-020-4131-8,32075677,PMC7031891,2020,Trials,ZZK9REP9,0671088be1fa7e00104953037a9d4a73,OK,downloaded,"2 PDF attachments, picked highest priority: Full Text PDF; Full Text PDF",,,testing,2026-08-06T22:19:59.828791+00:00
GFTRM6AK,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Implementation Science Using Proctor's Framework and an Adaptation of the Multiphase Optimization Strategy: Optimizing a Financial Incentive Intervention  for HIV Treatment Adherence in Tanzania.,Packel,10.1097/qai.0000000000002196,31764271,PMC6880807,2019,Journal of acquired immune deficiency syndromes (1999),Q6PH388M,7006fcc0394cd7e46b2069920875f3be,OK,downloaded,,,,testing,2026-08-06T22:20:00.348568+00:00
MX4V3BA2,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Comparing the effect of a multisectoral agricultural intervention on HIV-related health outcomes between widowed and married women.,Odhiambo,10.1016/j.socscimed.2023.116031,37390805,PMC10645573,2023,Social science & medicine (1982),XL3SUTUP,1e018d02450fc6dbbb98f7dbff394e23,OK,downloaded,,,,testing,2026-08-06T22:20:00.870433+00:00
GXBYKEDE,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,"Improving HIV testing, linkage, and retention in care among South African men through U = U messaging: A study protocol for two sequential hybrid type 1  effectiveness-implementation randomized controlled trials.",Medina-Marino,10.1371/journal.pone.0309905,39585844,PMC11588259,2024,PloS one,KRWVU38R,30cbfe3623caa2b7eb994162349b15c4,OK,downloaded,,,,testing,2026-08-06T22:20:01.427058+00:00
44WLSHDT,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Water Insecurity is Associated with Lack of Viral Suppression and Greater Odds of AIDS-Defining Illnesses Among Adults with HIV in Western Kenya.,Nagata,10.1007/s10461-021-03410-w,34373987,PMC8813828,2022,AIDS and behavior,DRWMZFC7,032988222f0dbd751672d5f769809ced,OK,downloaded,,,,testing,2026-08-06T22:20:01.986071+00:00
KS6PKN99,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,Technology-Assisted Teachers' Training to Promote Socioemotional Well-Being of Children in Public Schools in Rural Pakistan.,Hamdani,10.1176/appi.ps.202000005,32838678,PMC7775896,2021,"Psychiatric services (Washington, D.C.)",HFG7TES4,f39c8cbc6b6bc3df7b062f0233334b74,OK,downloaded,,,,testing,2026-08-06T22:20:02.533185+00:00
TCYY9IAN,FIC; NIMH,Boring Task / FIC; Boring Task / NIMH,The longitudinal impact of an evidence-based multiple family group intervention (Amaka Amasanyufu) on oppositional defiant disorder and impaired functioning  among children in Uganda: analysis of a cluster randomized trial from the SMART  Africa-Uganda scale-up study (2016-2022).,Brathwaite,10.1111/jcpp.13566,34989404,PMC9256858,2022,"Journal of child psychology and psychiatry, and allied disciplines",5A3J2Z9Z,d3fb61ed57d4cedd344853ddf45f0462,OK,downloaded,,,,testing,2026-08-06T22:20:03.125996+00:00
