paper_id,title,first_author,year,journal,doi,task,round,promptbook_version,split,truth,decision,outcome,confidence,reasoning,promptbook_evidence,cited_rules,status,failure_kind,failure_case,detail,raw_path
C9P63S2B,Team-focused implementation strategies to improve implementation of mental health screening and referral in rural Children's Advocacy Centers: study protocol for a pilot cluster randomized hybrid type 2 trial,McGuier,2023,Implementation Science Communications,10.1186/s43058-023-00437-z,exclusion,1,v1,build,no,yes,false_positive,0.95,Explicitly labeled pilot cluster-randomized trial assessing feasibility of team-focused implementation strategies; also a protocol paper.,E13,E13,ok,,,,results\04_classification\raw\exclusion_r1\d23b338e68f57f94.attempt1.jsonl
WCA66X4I,Design and rationale of an intervention to improve cancer prevention using clinical decision support and shared decision making: A clinic-randomized trial,Elliott,2021,Contemporary Clinical Trials,10.1016/j.cct.2021.106271,exclusion,1,v1,build,no,yes,false_positive,0.85,"Design/protocol paper only; trial ongoing, no post-randomization treatment effect results reported ('results expected in 2021').",E6,E6,ok,,,,results\04_classification\raw\exclusion_r1\564a4a3e630781b9.attempt1.jsonl
ZETJJPRR,Effectiveness of a Multicomponent Strategy for Implementing Guidelines for Treating Tobacco Use in Vietnam Commune Health Centers,Shelley,2022,Nicotine & Tobacco Research: Official Journal of the Society for Research on Nicotine and Tobacco,10.1093/ntr/ntab189,exclusion,1,v1,build,no,yes,false_positive,0.85,"Primary outcome is provider adoption/fidelity of TDT guidelines (4As), not patient cessation outcomes—classic implementation study.",E7,E7,ok,,,,results\04_classification\raw\exclusion_r1\26a4454bbf2c7550.attempt1.jsonl
MTLFVN94,Managing high cardiovascular disease risk among adults in Argentina using a multicomponent strategy linking key aspects of care: A two-arm cluster-randomized clinical trial (PRIMECare) protocol,Abrahams-Gessel,2023,Contemporary Clinical Trials,10.1016/j.cct.2023.107357,exclusion,1,v1,build,no,yes,false_positive,0.75,Protocol paper only; describes planned cRCT methods but reports no post-randomization treatment effect estimate at all.,E6,E6,ok,,,,results\04_classification\raw\exclusion_r1\6fc0ad66a4e1c400.attempt1.jsonl
5VWZPNEQ,"Putting patients at the center of kidney care transitions: PREPARE NOW, a cluster randomized controlled trial",Green,2018,Contemporary Clinical Trials,10.1016/j.cct.2018.09.004,exclusion,1,v1,build,no,yes,false_positive,0.72,"This is a protocol/design paper for an ongoing trial; no post-randomization treatment effect is estimated, only planned methods and power calculations.",E6,E6,ok,,,,results\04_classification\raw\exclusion_r1\fc8d469d1cf7dc5d.attempt1.jsonl
WPF7MUCV,Incorrect Analyses of Cluster-Randomized Trials that Do Not Take Clustering and Nesting into Account Likely Lead to p-Values that Are Too Small,Golzarri-Arroyo,2020,Childhood Obesity (Print),10.1089/chi.2019.0142,exclusion,1,v1,build,yes,wrong_text,wrong_text,0.9,"This is a commentary/letter critiquing another trial's statistical analysis, not a study report itself.",WRONG_TEXT,,ok,,,,results\04_classification\raw\exclusion_r1\63e4c7d41b2535d0.attempt1.jsonl
D29P9RKT,Effect of a Quality Improvement Intervention on Clinical Outcomes in Patients in India With Acute Myocardial Infarction: The ACS QUIK Randomized Clinical Trial,Huffman,2018,JAMA,10.1001/jama.2017.21906,exclusion,1,v1,build,yes,yes,true_positive,0.98,"Explicitly described as a cluster randomized, stepped-wedge trial with 5 predefined steps of hospital crossover from control to intervention.",E3,E3,ok,,,,results\04_classification\raw\exclusion_r1\91102d5ead3b7083.attempt1.jsonl
S47B3QEJ,"Implementation strategies to integrate HIV and hypertension care in Kampala and Wakiso districts, Uganda: study protocol for a stepped wedge cluster randomized trial (PULESA-Uganda)",Longenecker,2025,BMC health services research,10.1186/s12913-025-13281-9,exclusion,1,v1,build,yes,yes,true_positive,0.98,Explicitly a stepped-wedge cluster randomized trial protocol; design section describes staggered crossover of 16 clinics across steps.,E3,E3,ok,,,,results\04_classification\raw\exclusion_r1\714958c5cf0dc145.attempt1.jsonl
3MBN8DIA,"Individually randomized trial mislabeled as a cluster-randomized trial. Comment on: ""Effectiveness of wearable technology to optimize youth soccer players' off-training behaviour and training responses: a cluster-randomized trial""",Leite,2024,Science & Medicine in Football,10.1080/24733938.2023.2190998,exclusion,1,v1,build,yes,yes,true_positive,0.97,"This is a letter to the editor commenting on another study, not a study report itself.",E16,E16,ok,,,,results\04_classification\raw\exclusion_r1\e5054deaa0d3b716.attempt1.jsonl
6XSR8DVR,Prehospital low titer group O whole blood is feasible and safe: Results of a prospective randomized pilot trial,Guyette,2022,The Journal of Trauma and Acute Care Surgery,10.1097/ta.0000000000003551,exclusion,1,v1,build,yes,yes,true_positive,0.97,"Explicitly a pilot trial (title, methods, objective all state pilot); primary outcome is feasibility, halted early.",E13,E13,ok,,,,results\04_classification\raw\exclusion_r1\98247f56a135037f.attempt1.jsonl
FZB8IQSZ,Cost-Effectiveness of a Comprehensive Approach for Hypertension Control in Low-Income Settings in Argentina: Trial-Based Analysis of the Hypertension Control Program in Argentina,Augustovski,2018,Value in Health: The Journal of the International Society for Pharmacoeconomics and Outcomes Research,10.1016/j.jval.2018.06.003,exclusion,1,v1,build,yes,yes,true_positive,0.97,Self-declared cost-effectiveness analysis of a prior cluster RCT; primary trial results published elsewhere (He et al. JAMA 2017).,E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\bda53e5ffb5c27c7.attempt1.jsonl
HA9IHJB6,Associations of Caregiver-Oncologist Discordance in Prognostic Understanding With Caregiver-Reported Therapeutic Alliance and Anxiety,Loh,2020,Journal of Pain and Symptom Management,10.1016/j.jpainsymman.2020.02.005,exclusion,1,v1,build,yes,yes,true_positive,0.97,"Explicitly self-declared as an exploratory secondary analysis of the VOICE cluster RCT, pointing to prior publications for primary results.",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\30242293161a092a.attempt1.jsonl
I6GH9T7T,A Geriatric Assessment Intervention to Reduce Treatment Toxicity Among Older Adults With Advanced Lung Cancer: A Subgroup Analysis From a Cluster Randomized Controlled Trial,Presley,2022,Frontiers in Oncology,10.3389/fonc.2022.835582,exclusion,1,v1,build,yes,yes,true_positive,0.97,Self-declared secondary/subgroup analysis of GAP-70+ trial; primary trial results published elsewhere (Mohile et al. Lancet 2021).,E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\ff7115bbe093fc74.attempt1.jsonl
JPXXAFJZ,Estimands in cluster-randomized trials: choosing analyses that answer the right question,Kahan,2023,International Journal of Epidemiology,10.1093/ije/dyac131,exclusion,1,v1,build,yes,yes,true_positive,0.97,"This is a methods paper explaining estimand choice, estimators, and bias via a hypothetical/simulated example, not a trial report.",E8,E8,ok,,,,results\04_classification\raw\exclusion_r1\d94b13717a8a5da1.attempt1.jsonl
QEHREYLH,Sodium Bicarbonate Use During Pediatric Cardiopulmonary Resuscitation: A Secondary Analysis of the ICU-RESUScitation Project Trial,Cashen,2022,Pediatric Critical Care Medicine: A Journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies,10.1097/pcc.0000000000003045,exclusion,1,v1,build,yes,yes,true_positive,0.97,Self-declared pre-specified secondary analysis of the ICU-RESUS cluster RCT; primary trial results reported elsewhere; also observational/propensity-weighted cohort design.,E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\86aae18b62efe197.attempt1.jsonl
TB7DEJ83,Toward Understanding the Relationship Between Prioritized Values and Preferences for Cardiopulmonary Resuscitation Among Seriously Ill Adults,Modes,2019,Journal of Pain and Symptom Management,10.1016/j.jpainsymman.2019.06.011,exclusion,1,v1,build,yes,yes,true_positive,0.97,Self-declared secondary analysis of baseline surveys from a multi-center cluster-randomized trial; primary results published elsewhere (ref 23).,E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\96e88248ea953b5a.attempt1.jsonl
U9LEIXXF,Clinical Effects of Balanced Crystalloids vs Saline in Adults With Diabetic Ketoacidosis: A Subgroup Analysis of Cluster Randomized Clinical Trials,Self,2020,JAMA network open,10.1001/jamanetworkopen.2020.24596,exclusion,1,v1,build,yes,yes,true_positive,0.97,"Self-declared subgroup/secondary analysis of DKA patients from SALT-ED/SMART trials, whose primary results were reported elsewhere.",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\e1ad9d74d2b09f93.attempt1.jsonl
UIB8ZYW3,"Did a Goals-of-Care Discussion Happen? Differences in the Occurrence of Goals-of-Care Discussions as Reported by Patients, Clinicians, and in the Electronic Health Record",Modes,2019,Journal of Pain and Symptom Management,10.1016/j.jpainsymman.2018.10.507,exclusion,1,v1,build,yes,yes,true_positive,0.97,"Self-declared secondary analysis of a cluster-randomized trial (Jumpstart Tips), primary results published elsewhere.",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\6f652633bb809cd6.attempt1.jsonl
W8PNS3ZQ,Early bolus epinephrine administration during pediatric cardiopulmonary resuscitation for bradycardia with poor perfusion: an ICU-resuscitation study,O'Halloran,2024,"Critical Care (London, England)",10.1186/s13054-024-05018-7,exclusion,1,v1,build,yes,yes,true_positive,0.97,"Explicitly self-declared 'pre-specified secondary analysis' of ICU-RESUS trial, pointing to primary results published elsewhere.",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\d814beb3fb2a24a8.attempt1.jsonl
65U9AYL7,Effect of Physiologic Point-of-Care Cardiopulmonary Resuscitation Training on Survival With Favorable Neurologic Outcome in Cardiac Arrest in Pediatric ICUs: A Randomized Clinical Trial,ICU-RESUS and Eunice Kennedy Shriver National Institute of Child Health,2022,JAMA,10.1001/jama.2022.1738,exclusion,1,v1,build,yes,yes,true_positive,0.95,Explicitly described as a hybrid stepped-wedge cluster randomized trial with staggered crossover of ICUs from control to intervention.,E3,E3,ok,,,,results\04_classification\raw\exclusion_r1\5d3363d684b37f81.attempt1.jsonl
88XZGAZQ,Decision Aid Implementation among Left Ventricular Assist Device Programs Participating in the DECIDE-LVAD Stepped-Wedge Trial,Matlock,2020,Medical Decision Making: An International Journal of the Society for Medical Decision Making,10.1177/0272989x20915227,exclusion,1,v1,build,yes,yes,true_positive,0.95,Explicitly stepped-wedge cluster-randomized design (E3); also an implementation study of reach/adoption/fidelity (E7).,E3,E3,ok,,,,results\04_classification\raw\exclusion_r1\32c49258c1f842ae.attempt1.jsonl
DEN3TJZ5,A Virtual Cardiometabolic Health Program Among African Immigrants in the US: A Pilot Cluster-Randomized Clinical Trial,Ogungbe,2025,JAMA network open,10.1001/jamanetworkopen.2024.62559,exclusion,1,v1,build,yes,yes,true_positive,0.95,Explicitly titled and described as a pilot cluster-randomized clinical trial throughout; authors call it a pilot study.,E13,E13,ok,,,,results\04_classification\raw\exclusion_r1\a965d3e61bc44371.attempt1.jsonl
ECH2D7BJ,Pediatric Office Delivery of Smoking Cessation Assistance for Breast-Feeding Mothers,Drehmer,2020,Nicotine & Tobacco Research: Official Journal of the Society for Research on Nicotine and Tobacco,10.1093/ntr/nty247,exclusion,1,v1,build,yes,yes,true_positive,0.95,"Paper explicitly self-declares as secondary analysis of CEASE trial data, with primary trial results published elsewhere (ref 20).",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\37ec1be6b073d9e0.attempt1.jsonl
F7UIGLIK,While-alive regression analysis of composite survival endpoints,Fang,2024,"Biostatistics (Oxford, England)",10.1093/biostatistics/kxaf047,exclusion,1,v1,build,yes,yes,true_positive,0.95,"Methods paper: develops a new regression estimator/spline framework, validated by simulations and illustrative data analyses, not a trial report.",E8,E8,ok,,,,results\04_classification\raw\exclusion_r1\7105b84a1876dcfe.attempt1.jsonl
SRGFMEL6,Identifying Which Urban Children With Asthma Benefit Most From Clinician Prompting: Subgroup Analyses From the Prompting Asthma Intervention in Rochester-Uniting Parents and Providers (PAIR-UP) Trial,Goldstein,2018,Academic Pediatrics,10.1016/j.acap.2017.08.015,exclusion,1,v1,build,yes,yes,true_positive,0.95,"Self-declared pre-specified subgroup/sub-analysis of PAIR-UP trial; primary result reported elsewhere (ref 20, JAMA Pediatrics).",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\6b655316d8ba09f7.attempt1.jsonl
LD2EYF43,Effect of Applying Best Practices for Physical Activity and Screen Time to Family Childcare Homes,Jiang,2023,Preventing Chronic Disease,10.5888/pcd20.220325,exclusion,1,v1,build,yes,yes,true_positive,0.93,Paper analyzes only baseline observational data from the cluster-RCT; no post-randomization treatment effect estimated (cross-sectional caregiver-child associations only).,E6,E6,ok,,,,results\04_classification\raw\exclusion_r1\5d15f66606b07efd.attempt1.jsonl
NCY67FZ9,Changes in Moderate Intensity Physical Activity Are Associated With Better Cognition in the Multilevel Intervention for Physical Activity in Retirement Communities (MIPARC) Study,Zlatar,2019,The American Journal of Geriatric Psychiatry: Official Journal of the American Association for Geriatric Psychiatry,10.1016/j.jagp.2019.04.011,exclusion,1,v1,build,yes,yes,true_positive,0.93,Paper explicitly states cognition was a secondary outcome of MIPARC trial; primary PA outcomes reported in a separate cited publication (Kerr et al 2018).,E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\7dcd1e3a9fa061c7.attempt1.jsonl
VZQD5RZ8,Disease and Race-Based Differences in Inpatient Palliative Care Consultation in Cancer and Noncancer Serious Illnesses,Moin,2025,Journal of the American Geriatrics Society,10.1111/jgs.19509,exclusion,1,v1,build,yes,yes,true_positive,0.93,"Self-declared secondary analysis of REDAPS stepped-wedge trial's usual-care period; also observational cohort design, not a treatment-effect trial itself.",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\663d80a5d2ab92d8.attempt1.jsonl
3YMCRN5A,Perspectives of women participating in a cervical cancer screening campaign with community-based HPV self-sampling in rural western Kenya: a qualitative study,Oketch,2019,BMC women's health,10.1186/s12905-019-0778-2,exclusion,1,v1,build,yes,yes,true_positive,0.9,Qualitative IDI study nested in larger cluster RCT; main outcomes reported elsewhere; no quantitative treatment-effect estimate here.,E11,E11,ok,,,,results\04_classification\raw\exclusion_r1\460fcb03d2946d26.attempt1.jsonl
D6FQ47HW,Machine Learning-Based Prediction of Hospitalization During Chemoradiotherapy With Daily Step Counts,Friesner,2024,JAMA oncology,10.1001/jamaoncol.2024.0014,exclusion,1,v1,build,yes,yes,true_positive,0.9,"Paper self-declares as a 'secondary analysis of 3 prospective studies' in Key Points; also a prediction-model/ML methods paper, not a cluster-randomized trial.",E5,E5,ok,,,,results\04_classification\raw\exclusion_r1\687b6937210ed400.attempt1.jsonl
FRK7DQLC,"Knowledge of colorectal cancer screening guidelines and intention to obtain screening among nonadherent Filipino, Hmong, and Korean Americans",Tsoh,2018,Cancer,10.1002/cncr.31097,exclusion,1,v1,build,yes,yes,true_positive,0.9,"Uses only cross-sectional, pre-intervention survey data from a cluster RCT; no post-randomization treatment effect estimated; primary trial outcomes reported elsewhere (refs 8,9).",E6,E6,ok,,,,results\04_classification\raw\exclusion_r1\58fd9d59b73bea3e.attempt1.jsonl
P6QS3RSX,Nutrition Practices of Family Child Care Home Providers and Children's Diet Quality,Jiang,2023,Journal of Nutrition Education and Behavior,10.1016/j.jneb.2023.03.005,exclusion,1,v1,build,yes,yes,true_positive,0.9,Cross-sectional analysis of baseline data only from a CRT; no post-randomization treatment effect estimated; intervention effects reported elsewhere (ref 76).,E6,E6,ok,,,,results\04_classification\raw\exclusion_r1\2c289613702a8d00.attempt1.jsonl
TYUTRABV,The impact of text message reminders on cryotherapy uptake among women testing positive for HPV in western Kenya: a prospective cohort study,Choi,2024,BMC women's health,10.1186/s12905-023-02842-x,exclusion,1,v1,build,yes,yes,true_positive,0.9,"Title/text: 'prospective cohort study', single-arm sub-study of phase 2, non-randomized comparison of sequential communities, not a CRT.",E9,E9,ok,,,,results\04_classification\raw\exclusion_r1\00372292a95717ea.attempt1.jsonl
