paper_id,token,task,round,status,decision,confidence,reasoning,promptbook_evidence,cited_rules,was_fenced,failure_kind,failure_case,detail,flagged_other_papers,raw_path
WPF7MUCV,63e4c7d41b2535d0,exclusion,1,ok,wrong_text,0.9,"This is a commentary/letter critiquing another trial's statistical analysis, not a study report itself.",WRONG_TEXT,,False,,,,,results\04_classification\raw\exclusion_r1\63e4c7d41b2535d0.attempt1.jsonl
WCA66X4I,564a4a3e630781b9,exclusion,1,ok,yes,0.85,"Design/protocol paper only; trial ongoing, no post-randomization treatment effect results reported ('results expected in 2021').",E6,E6,False,,,,,results\04_classification\raw\exclusion_r1\564a4a3e630781b9.attempt1.jsonl
P6QS3RSX,2c289613702a8d00,exclusion,1,ok,yes,0.9,Cross-sectional analysis of baseline data only from a CRT; no post-randomization treatment effect estimated; intervention effects reported elsewhere (ref 76).,E6,E6,False,,,,,results\04_classification\raw\exclusion_r1\2c289613702a8d00.attempt1.jsonl
UIB8ZYW3,6f652633bb809cd6,exclusion,1,ok,yes,0.97,"Self-declared secondary analysis of a cluster-randomized trial (Jumpstart Tips), primary results published elsewhere.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\6f652633bb809cd6.attempt1.jsonl
3YMCRN5A,460fcb03d2946d26,exclusion,1,ok,yes,0.9,Qualitative IDI study nested in larger cluster RCT; main outcomes reported elsewhere; no quantitative treatment-effect estimate here.,E11,E11,False,,,,,results\04_classification\raw\exclusion_r1\460fcb03d2946d26.attempt1.jsonl
V4KK3YW4,d765a6bd759d4f66,exclusion,1,ok,yes,0.85,Describes campaign development process; outcomes/effectiveness relegated to a separate protocol/future paper; no treatment effect reported here.,E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\d765a6bd759d4f66.attempt1.jsonl
D24FD6G2,245d2adbfb3a994a,exclusion,1,ok,no,0.9,"Pragmatic cluster RCT (physicians randomized) with primary QoL/symptom outcomes reported, treatment effects estimated; no exclusion criteria met.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\245d2adbfb3a994a.attempt1.jsonl
65U9AYL7,5d3363d684b37f81,exclusion,1,ok,yes,0.95,Explicitly described as a hybrid stepped-wedge cluster randomized trial with staggered crossover of ICUs from control to intervention.,E3,E3,False,,,,,results\04_classification\raw\exclusion_r1\5d3363d684b37f81.attempt1.jsonl
6XFGQN39,bdf8ea817cbfeed4,exclusion,1,ok,no,0.85,"Protocol for clinician-level cluster RCT with defined primary effectiveness aim; not stepped-wedge, not secondary, not pilot. Protocol status alone is not exclusionary (E12).",E12,E12,False,,,,,results\04_classification\raw\exclusion_r1\bdf8ea817cbfeed4.attempt1.jsonl
6XSR8DVR,98247f56a135037f,exclusion,1,ok,yes,0.97,"Explicitly a pilot trial (title, methods, objective all state pilot); primary outcome is feasibility, halted early.",E13,E13,False,,,,,results\04_classification\raw\exclusion_r1\98247f56a135037f.attempt1.jsonl
HPIL7WVW,3dfad5b580e95b75,exclusion,1,ok,no,0.9,"Cluster RCT (clinic-randomized), primary quality-of-life outcome with treatment effect estimates, not stepped-wedge, not pilot/secondary/implementation.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\3dfad5b580e95b75.attempt1.jsonl
2RDD8DGI,be4beae639bbb052,exclusion,1,ok,no,0.9,"Group-randomized RCT (neighborhood site as cluster), reports primary outcome (6-month abstinence) with quantitative treatment effects. No exclusion criteria apply.",E10,E10,False,,,,,results\04_classification\raw\exclusion_r1\be4beae639bbb052.attempt1.jsonl
DEN3TJZ5,a965d3e61bc44371,exclusion,1,ok,yes,0.95,Explicitly titled and described as a pilot cluster-randomized clinical trial throughout; authors call it a pilot study.,E13,E13,False,,,,,results\04_classification\raw\exclusion_r1\a965d3e61bc44371.attempt1.jsonl
88XZGAZQ,32c49258c1f842ae,exclusion,1,ok,yes,0.95,Explicitly stepped-wedge cluster-randomized design (E3); also an implementation study of reach/adoption/fidelity (E7).,E3,E3,False,,,,,results\04_classification\raw\exclusion_r1\32c49258c1f842ae.attempt1.jsonl
JPXXAFJZ,d94b13717a8a5da1,exclusion,1,ok,yes,0.97,"This is a methods paper explaining estimand choice, estimators, and bias via a hypothetical/simulated example, not a trial report.",E8,E8,False,,,,,results\04_classification\raw\exclusion_r1\d94b13717a8a5da1.attempt1.jsonl
W8PNS3ZQ,d814beb3fb2a24a8,exclusion,1,ok,yes,0.97,"Explicitly self-declared 'pre-specified secondary analysis' of ICU-RESUS trial, pointing to primary results published elsewhere.",E5,E5,False,,,,,results\04_classification\raw\exclusion_r1\d814beb3fb2a24a8.attempt1.jsonl
