paper_id,set,folder,verdict,verdict_reason,explanation,title_score,title_pos,doi_hit,admin_doc,first_author_hit,author_hits,author_count,author_frac,year_hit,journal_hit,head_chars,page_count,other_dois,attachment_key,repaired_from,title
YLS5U33Y,testing,CC / CLC; NIDA,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.0,True,False,True,20,20,1.0,True,False,6681,19,,RF6CZ9WP,,Design of a pragmatic clinical trial to improve screening and treatment for opioid use disorder in primary care.
MQC52PL5,testing,FIC; NCATS,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.001,True,False,True,15,15,1.0,True,True,11780,11,10.1002/jia2.25641/full,DZGAG5MK,,Effectiveness of a psychological intervention delivered by general nurses for alcohol use disorders in people living with HIV in Zimbabwe: a cluster randomized  controlled trial.
P83JNYPT,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.005,True,False,True,12,12,1.0,True,True,12578,9,,S36A8ZR5,,Household Water and Food Insecurity Are Positively Associated with Poor Mental and Physical Health among Adults Living with HIV in Western Kenya.
E2YTTWU3,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.003,True,False,True,19,19,1.0,True,True,8521,13,,ZZK9REP9,,The Video intervention to Inspire Treatment Adherence for Life (VITAL Start): protocol for a multisite randomized controlled trial of a brief video-based  intervention to improve antiretroviral adherence and retention among HIV-infected  pregnant women in Malawi.
GFTRM6AK,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.0,True,False,True,4,4,1.0,True,False,6527,13,10.1097/QAI,Q6PH388M,,Implementation Science Using Proctor's Framework and an Adaptation of the Multiphase Optimization Strategy: Optimizing a Financial Incentive Intervention  for HIV Treatment Adherence in Tanzania.
MX4V3BA2,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.015,True,False,True,8,8,1.0,True,False,3740,17,,XL3SUTUP,,Comparing the effect of a multisectoral agricultural intervention on HIV-related health outcomes between widowed and married women.
GXBYKEDE,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.002,True,False,True,8,8,1.0,True,True,8899,24,,KRWVU38R,,"Improving HIV testing, linkage, and retention in care among South African men through U = U messaging: A study protocol for two sequential hybrid type 1  effectiveness-implementation randomized controlled trials."
44WLSHDT,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.013,True,False,True,14,14,1.0,True,True,9131,7,,DRWMZFC7,,Water Insecurity is Associated with Lack of Viral Suppression and Greater Odds of AIDS-Defining Illnesses Among Adults with HIV in Western Kenya.
KS6PKN99,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,98.1,0.0,True,False,True,12,12,1.0,True,False,4863,18,,HFG7TES4,,Technology-Assisted Teachers' Training to Promote Socioemotional Well-Being of Children in Public Schools in Rural Pakistan.
TCYY9IAN,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.0,True,False,True,15,15,1.0,True,False,6231,17,,5A3J2Z9Z,,The longitudinal impact of an evidence-based multiple family group intervention (Amaka Amasanyufu) on oppositional defiant disorder and impaired functioning  among children in Uganda: analysis of a cluster randomized trial from the SMART  Africa-Uganda scale-up study (2016-2022).
DAHVXML2,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.005,True,False,True,15,15,1.0,True,True,8836,16,,6VK3WMGR,,Effect of a Multisectoral Agricultural Intervention on HIV Health Outcomes Among Adults in Kenya: A Cluster Randomized Clinical Trial.
DYBSQUK6,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.133,True,False,True,11,11,1.0,True,True,9254,15,,DDQ24GX9,,Integrating community-based HIV and non-communicable disease care with microfinance groups: a feasibility study in Western Kenya.
QRUEDYP9,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.014,True,False,True,10,10,1.0,True,True,8015,8,,5ZBLN6FD,,"Relationship Power, Antiretroviral Adherence, and Physical and Mental Health Among Women Living with HIV in Rural Kenya."
C5BF9JWU,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.0,True,False,True,10,10,1.0,True,False,6524,16,,N596P8HI,,Impact of a livelihood intervention on gender roles and relationship power among people with HIV.
XGC9TCX5,testing,FIC; NIMH,VERIFIED,DOI_MATCH,Zotero's DOI appears in the document,100.0,0.025,True,False,True,16,16,1.0,True,True,6486,12,,WUWDNV8W,,Prevalence and correlates of internalized stigma among adults with HIV and major depressive disorder in rural Malawi.
