priority,category,paper_id,set,why,verdict,verdict_reason,title_score,pages,doi,folder,title
1,A_WRONG_DOCUMENT,2NUR4ISP,testing,PDF does not match the record on any signal,MISMATCH,NO_MATCH,79.3,4,10.2196/24115,NIMH,Adaptation of the World Health Organization Electronic Mental Health Gap Action Programme Intervention Guide App for Mobile Devices in Nepal and Nigeria:  Protocol for a Feasibility Cluster Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,3NJJIQJQ,validation,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,83.0,14,10.2196/34502,FinalCollectionFor Publication,Evaluation of the Efficacy of a Smoking Cessation Intervention for Cervical Cancer Survivors and Women With High-Grade Cervical Dysplasia: Protocol for a Randomized Controlled Trial
1,A_WRONG_DOCUMENT,4347I8U7,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,87.6,10,10.2196/34990,NIA; NIGMS; NLM,A Scalable Service to Improve Health Care Quality Through Precision Audit and Feedback: Proposal for a Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,5ZYEYEFF,testing,PDF does not match the record on any signal,MISMATCH,NO_MATCH,45.8,79,10.2196/26192,NIMH,"Mobile Health-Supported HIV Self-Testing Strategy Among Urban Refugee and Displaced Youth in Kampala, Uganda: Protocol for a Cluster Randomized Trial  (Tushirikiane, Supporting Each Other)."
1,A_WRONG_DOCUMENT,62ZSZPVQ,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,80.0,15,10.2196/37002,NICHD,Evaluation of a Circadian Rhythm and Sleep-Focused Mobile Health Intervention for the Prevention of Accelerated Summer Weight Gain Among Elementary School-Age  Children: Protocol for a Randomized Controlled Feasibility Study.
1,A_WRONG_DOCUMENT,8YD6VXVA,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,92.5,14,10.2196/15314,NICHD,Integrated Care Delivery for HIV Prevention and Treatment in Adolescent Girls and Young Women in Zambia: Protocol for a Cluster-Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,CLPMXINX,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,92.2,12,10.2196/46187,NIDDK,Enhancing the Cardiovascular Safety of Hemodialysis Care Using Multimodal Provider Education and Patient Activation Interventions: Protocol for a Cluster  Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,DB7RLSI3,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,86.3,12,10.2196/44219,NIDA; NIMH,Strengthening Addiction Care Continuum Through Community Consortium in Vietnam: Protocol for a Cluster-Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,DBT2TU6U,testing,PDF does not match the record on any signal,MISMATCH,NO_MATCH,47.3,66,10.2196/30372,FIC,Effectiveness of Cash Transfer Delivered Along With Combination HIV Prevention Interventions in Reducing the Risky Sexual Behavior of Adolescent Girls and Young  Women in Tanzania: Cluster Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,DY89L5PP,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,79.4,13,10.2196/33695,NIMH,Harnessing Innovative Technologies to Train Nurses in Suicide Safety Planning With Hospitalized Patients: Protocol for Formative and Pilot Feasibility  Research.
1,A_WRONG_DOCUMENT,EYG252Z5,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,81.0,29,10.2196/51660,NIAID,Seasonal Malaria Chemoprevention Therapy in Children Up To 9 Years of Age: Protocol for a Cluster-Randomized Trial Study.
1,A_WRONG_DOCUMENT,H6A7ZU2Q,testing,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,88.1,13,10.2196/40101,NIMH,A Multilevel Integrated Intervention to Reduce the Impact of HIV Stigma on HIV Treatment Outcomes Among Adolescents Living With HIV in Uganda: Protocol for a  Randomized Controlled Trial.
1,A_WRONG_DOCUMENT,IB825UX2,validation,"PDF is NIH/PCORI grant paperwork, not the article",MISMATCH,ADMIN_DOCUMENT,84.1,13,10.2196/33183,FinalCollectionFor Publication,Evaluating the Efficacy of Automated Smoking Treatment for People With HIV: Protocol for a Randomized Controlled Trial
