restored_at,paper_id,twin_paper_id,twin_drop_reason,matched_on,folder,status,md5_matches_archive,title
2026-08-26T18:31:53+00:00,EMQMPLJ5,G78NBYUH,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers,DOI,NCATS; NIAID; NIDDK,OK,true,Disseminating and implementing a lifestyle-based healthy weight program for mothers in a national organization: a study protocol for a cluster randomized  trial.
2026-08-26T18:31:53+00:00,KVYE5RWF,NESLQUNP,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NCATS; NIA; NIGMS,OK,true,Balanced Crystalloids versus Saline in Critically Ill Adults.
2026-08-26T18:31:53+00:00,DH6IG7JY,HKJXZKTF,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers,DOI,NCATS,OK,true,A Cluster-Randomized Trial of Blood-Pressure Reduction in Black Barbershops.
2026-08-26T18:31:53+00:00,N35XJ5YV,YHKIB4RS,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers,DOI,NCATS,OK,true,Oxygen-Saturation Targets for Critically Ill Adults Receiving Mechanical Ventilation.
2026-08-26T18:31:53+00:00,8YQN99UA,YKCJ78UM,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone",DOI,NCATS,OK,true,Study protocol: a cluster randomized trial to evaluate the effectiveness and implementation of onsite GeneXpert testing at community health centers in Uganda  (XPEL-TB).
2026-08-26T18:31:53+00:00,PDUGS7DP,IT2B87LL,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NCATS,OK,true,"A cluster randomized controlled trial for a multi-level, clinic-based smoking cessation program with women in Appalachian communities: study protocol for the  ""Break Free"" program."
2026-08-26T18:31:53+00:00,TZAGY4NU,DJE2PNQA,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NCATS,OK,true,A randomized study to prevent lymphedema in women treated for breast cancer: CALGB 70305 (Alliance).
2026-08-26T18:31:53+00:00,CM3Z8D7D,DEKG3YAI,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NCATS,OK,true,A Group Randomized Trial to Reduce Obesity among Appalachian Church Members: The Walk by Faith Study.
2026-08-26T18:31:53+00:00,TDLGKW2I,L3XSIHDW,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NCATS,OK,true,Design and pilot implementation for the BETTER CARE-HF trial: A pragmatic cluster-randomized controlled trial comparing two targeted approaches to  ambulatory clinical decision support for cardiologists.
2026-08-26T18:31:53+00:00,4GPSLLBZ,PQNBSQLX,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers,DOI,NCATS,OK,true,Cluster-Randomized Trial Comparing Ambulatory Decision Support Tools to Improve Heart Failure Care.
2026-08-26T18:31:53+00:00,DVTPLYEC,E92KWK4B,NCI and NHLBI reviewed this paper independently and reached different answers; assumed unresolved (2026-08-26) rather than picking a side. May be restored if adjudicated later.,DOI,NIA; NIDDK; NIMHD,OK,true,Process of Engaging Community and Scientific Partners in the Development of the CIRCL-Chicago Study Protocol.
2026-08-26T18:31:53+00:00,FP3HZHGS,TZF282NC,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers,DOI,NIAID,OK,true,Use of Asthma APGAR Tools in Primary Care Practices: A Cluster-Randomized Controlled Trial.
2026-08-26T18:31:53+00:00,LTKIP9MK,CWWSSM8V,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NIAID,OK,true,Community Health Workers Improve Linkage to Hypertension Care in Western Kenya.
2026-08-26T18:31:53+00:00,RXFQY4XC,DPPC94XT,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NIBIB,OK,true,"Testing the effectiveness of community-engaged citizen science to promote physical activity, foster healthier neighborhood environments, and advance health  equity in vulnerable communities: The Steps for Change randomized controlled  trial design and methods."
2026-08-26T18:31:53+00:00,STH5NWUN,JMLTZFI8,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NIDDK; NINR,OK,true,"A Cluster-Randomized Trial of a Mobile Produce Market Program in 12 Communities in North Carolina: Program Development, Methods, and Baseline Characteristics."
2026-08-26T18:31:53+00:00,NPU43H6S,BNPVWAIY,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NIDDK; NIMH,OK,true,The impact of basic vs. enhanced Go NAPSACC on child care centers' healthy eating and physical activity practices: protocol for a type 3 hybrid  effectiveness-implementation cluster-randomized trial.
2026-08-26T18:31:53+00:00,TCS56FZY,KQHQ9KMW,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers,DOI,NIDDK; NIMH,OK,true,Training Models for Implementing Evidence-Based Psychological Treatment: A Cluster-Randomized Trial in College Counseling Centers.
2026-08-26T18:31:53+00:00,3BRBKRE4,2QQAF298,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NIDDK,OK,true,"Workplace health and safety intervention for child care staff: Rationale, design, and baseline results from the CARE cluster randomized control trial."
2026-08-26T18:31:53+00:00,VH6KS89D,TVL564PH,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers,DOI,NIDDK,OK,true,Keys to healthy family child care homes: Results from a cluster randomized trial.
2026-08-26T18:31:53+00:00,6AUXHCLQ,J2XGTHGE,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NIDDK,OK,true,"Evaluating a child care-based social marketing approach for improving children's diet and physical activity: results from the Healthy Me, Healthy We  cluster-randomized controlled trial."
2026-08-26T18:31:53+00:00,YBR6NA98,Z7NF2G6Q,NCI and NHLBI reviewed this paper independently and reached different answers; assumed unresolved (2026-08-26) rather than picking a side. May be restored if adjudicated later.,DOI,NIDDK,OK,true,Objective Measures of Physical Activity in Rural Communities: Factors Associated With a Valid Wear and Lessons Learned.
2026-08-26T18:31:53+00:00,7KFKZX8A,RJD9XX6D,NCI and NHLBI reviewed this paper independently and reached different answers; assumed unresolved (2026-08-26) rather than picking a side. May be restored if adjudicated later.,DOI,NIDDK,OK,true,A multilevel approach for promoting physical activity in rural communities: a cluster randomized controlled trial.
2026-08-26T18:31:53+00:00,Q472RUI9,QGRTXZZH,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it,DOI,NIMHD,OK,true,Efficacy of a community-based participatory and multilevel intervention to enhance hepatitis B virus screening and vaccination in underserved Korean  Americans.
